Date Temperature Vmin
2020-03-14 2.830085 272.107377
2020-03-15 2.131011 315.347849
2020-03-16 5.321757 413.832340
2020-03-17 6.940054 414.872043
2020-03-20 7.787034 478.797684
2020-03-21 9.682726 491.836344
2020-03-22 9.592527 480.712903
2020-03-26 9.648303 472.284946
2020-03-27 17.076528 444.925269
2020-04-07 20.036740 467.722553
2020-04-08 21.937595 475.007204
2020-04-09 25.638782 484.609462
2020-04-11 19.788563 464.734409
2020-04-12 22.051456 462.502021
2020-04-13 24.076435 470.618065
2020-04-14 27.716120 491.435484
2020-04-15 26.700542 481.980426
2020-04-16 27.345538 493.481250
2020-04-17 28.696668 472.159140
2020-04-18 31.861413 461.219255
2020-04-19 35.020046 486.814624
2020-04-20 35.757305 499.322447
