Date Vps1 Ips1 Vps2 Ips2
2019-03-19 11:35:02.379000 1.5 0.0 1.4 0.0
2019-03-19 11:35:16.103000 1.5 0.0 1.4 0.0
2019-03-19 11:35:24.021000 1.5 0.0 1.4 0.0
2019-03-19 11:35:31.532000 1.5 0.0 1.4 0.0
2019-03-19 11:35:38.133000 1.5 0.0 1.4 0.0
Date Vps1 Ips1 Vps2 Ips2
2019-03-19 11:35:53.063000 2.5 0.0 1.4 0.0
2019-03-19 11:35:58.163000 2.5 0.0 1.4 0.0
2019-03-19 11:36:05.962000 2.5 0.0 1.4 0.0
2019-03-19 11:36:13.799000 2.5 0.0 1.4 0.0
2019-03-19 11:36:21.650000 2.5 0.0 1.4 0.0
2019-03-19 11:36:29.463000 2.5 0.0 1.4 0.0
2019-03-19 11:36:37.224000 2.5 0.0 1.4 0.0
Date Vps1 Ips1 Vps2 Ips2
2019-03-19 11:49:34.948000 0.5 0.0 0.8 0.01
2019-03-19 11:49:42.626000 0.5 0.0 0.8 0.01
2019-03-19 11:49:50.388000 0.5 0.0 0.8 0.01
2019-03-19 11:49:58.190000 0.5 0.0 0.8 0.008
2019-03-19 11:50:05.950000 0.5 0.0 0.8 0.01
2019-03-19 11:50:13.736000 0.5 0.0 0.8 0.01
2019-03-19 11:50:21.527000 0.5 0.0 0.8 0.01
2019-03-19 11:50:29.379000 0.5 0.0 0.8 0.01
2019-03-19 11:50:37.178000 1.5 0.0 0.6 0.005
2019-03-19 11:50:44.979000 1.5 0.0 0.6 0.005
2019-03-19 11:50:52.780000 1.5 0.0 0.6 0.005
2019-03-19 11:51:00.561000 1.5 0.0 0.6 0.005
2019-03-19 11:51:08.369000 1.5 0.0 0.6 0.005
2019-03-19 11:51:16.163000 1.5 0.0 0.6 0.005
2019-03-19 11:51:23.990000 1.5 0.0 0.6 0.005
2019-03-19 11:51:31.741000 1.5 0.0 0.6 0.005
2019-03-19 11:51:39.583000 1.5 0.0 0.6 0.005
2019-03-19 11:51:47.411000 1.5 0.0 0.6 0.005
2019-03-19 11:51:55.241000 1.5 0.0 0.6 0.005
2019-03-19 11:52:03.022000 1.5 0.0 0.6 0.005
2019-03-19 11:52:10.843000 1.5 0.0 0.6 0.005
2019-03-19 11:52:18.643000 1.5 0.0 0.6 0.005
2019-03-19 11:52:26.374000 1.5 0.0 0.6 0.005
2019-03-19 11:52:34.150000 1.5 0.0 0.6 0.005
2019-03-19 11:52:41.943000 1.5 0.0 0.6 0.005
2019-03-19 11:52:49.704000 1.5 0.0 0.6 0.005
Date Vps1 Ips1 Vps2 Ips2
2019-03-19 11:56:22.422000 0.35 0.021 0.85 0.018
Date Vps1 Ips1 Vps2 Ips2
2019-03-19 13:02:50.971000 0.5 0.024 0.8 0.02
Date Vps1 Ips1 Vps2 Ips2
2019-03-19 13:07:22.341000 1.4 0.0 1.4 0.0
Date Vps1 Ips1 Vps2 Ips2
2019-03-19 13:14:22.084000 0.5 0.0 1.4 0.0
Date Vps1 Ips1 Vps2 Ips2
